No,Portfolio Folder,Period,Client,Agency,Title,Tags,Source Path
01,01_202602_Galaxy Buds4 - Media Briefing,2026-02,Samsung Electronics MX,Cheil Worldwide,Galaxy Buds4 – Media Briefing,"Deck, Editorial Design, Graphic Design, Copywriting, Art Direction",삼성 MX/2026/Buds4_BriefingDeck/01_DELIVERY/
02,02_202602_MWC Barcelona 2026 - Samsung x Qualcomm Keynote,2026-02,Samsung Electronics MX,Cheil Worldwide,MWC Barcelona 2026 – Samsung × Qualcomm Keynote,"Keynote, Editorial Design, Graphic Design, Copywriting, Art Direction",삼성 MX/2026/MWC_SamsungQCDeck/01_DELIVERY/
03,03_202602_Galaxy S26 Unpacked Media Briefing,2026-02,Samsung Electronics MX,Cheil Worldwide,Galaxy S26 Unpacked Media Briefing,"Deck, Editorial Design, Graphic Design, Motion Graphic, Copywriting, Art Direction",삼성 MX/2026/S26_BriefingDeck/01_DELIVERY/
04,04_202602_Urimunhwa - Monthly Magazine,2026-02~,Federation of Korean Cultural Center,,Urimunhwa – Monthly Magazine,"Inhouse Magazine, Editorial Planning, Editorial Design, Editing, Copywriting, Reporting, Print & Webzine Production, Art Direction",
05,05_202512_Galaxy Book6 Media Briefing,2025-12,Samsung Electronics MX,Cheil Worldwide,Galaxy Book6 Media Briefing,"Deck, Editorial Design, Graphic Design, 3D Graphic, Copywriting, Art Direction",삼성 MX/2025/GB6_BriefingDeck/01_DELIVERY/
06,06_202512_Galaxy Tri-Fold Media Briefing,2025-12,Samsung Electronics MX,Cheil Worldwide,Galaxy Tri-Fold Media Briefing,"Deck, Editorial Design, Graphic Design, Copywriting, Art Direction",삼성 MX/2025/TriFold_BriefingDeck/01_DELIVERY/
07,07_202511_Genesis Road Trip - Cheongju,2025-11,Genesis,National Geographic Traveler Korea,Genesis Road Trip – Cheongju,"Branded Film, Branded Photography, Narrative, Creative Direction",제네시스/제네시스_2025/청주편/2 운영안 output
08,08_202509_Snapdragon Summit Keynote,2025-09,Samsung Electronics MX,Cheil Worldwide,Snapdragon Summit Keynote,"Keynote, Editorial Design, Graphic Design, Copywriting, Art Direction",삼성 MX/2025/SnapdragonSummit/01_DELIVERY/
09,09_202509_Ocean-Bound Plastics to Galaxy Watch8 Series - Carousel Post,2025-09,Samsung Electronics MX,Cheil Worldwide,Ocean-Bound Plastics to Galaxy Watch8 Series – Carousel Post,"Social Media Content, Sustainability, Illustration, Copywriting, Art Direction",삼성 MX/etc/20250905 RE Plastic W8/8 output
10,10_202509_Samsung x the Global Goals App - Animated Post,2025-09,Samsung Electronics MX,Cheil Worldwide,Samsung × the Global Goals App – Animated Post,"Social Media Content, Sustainability, Art Direction, Motion Graphic",삼성 MX/etc/20250918 골즈앱홍보 카드뉴스/8 output
